pair_id,cohort,provenance,topic,act_mean_l7_nav,act_mean_l7_op,act_mean_l7_diff,inf_mean_l7_nav,inf_mean_l7_op,inf_mean_l7_diff,l20_25_inf_share_nav,l20_25_inf_share_op,l20_25_inf_share_diff,l15_25_inf_share_nav,l15_25_inf_share_op,l15_25_inf_share_diff,mid_continuity_l7_18_nav,mid_continuity_l7_18_op,mid_continuity_l7_18_diff,inf_layer_std_nav,inf_layer_std_op,inf_layer_std_diff,inf_entropy_nav,inf_entropy_op,inf_entropy_diff,feature_ratio_l7_nav,feature_ratio_l7_op,feature_ratio_l7_diff,edges_per_node_l7_nav,edges_per_node_l7_op,edges_per_node_l7_diff,edge_posneg_l7_nav,edge_posneg_l7_op,edge_posneg_l7_diff,edge_absmean_l7_nav,edge_absmean_l7_op,edge_absmean_l7_diff,err_ratio_inf_l7_nav,err_ratio_inf_l7_op,err_ratio_inf_l7_diff,err_ratio_count_l7_nav,err_ratio_count_l7_op,err_ratio_count_l7_diff
S08,sensitivity,author-written (auxiliary window),russia independence soviet frame,16.9742,16.4456,0.5286,13.6684,13.6401,0.0283,0.1759,0.1801,-0.0042,0.3995,0.3901,0.0094,1.0,1.0,0.0,5.4541,5.4917,-0.0376,6.6298,6.6045,0.0253,0.6675,0.6566,0.0109,103.2013,115.8087,-12.6074,1.2559,1.2656,-0.0097,0.336439,0.318021,0.0184,0.3566,0.3685,-0.0119,0.3325,0.3434,-0.0109
S09,sensitivity,author-written (auxiliary window),russia pretraining media challenge,17.4361,16.7258,0.7103,14.9176,14.3649,0.5527,0.2647,0.2297,0.035,0.4905,0.4391,0.0514,1.0,1.0,0.0,5.9441,5.8608,0.0833,6.1558,6.2487,-0.0929,0.7325,0.6891,0.0434,78.4712,83.4625,-4.9913,1.3772,1.3159,0.0613,0.543956,0.483765,0.0602,0.2845,0.3366,-0.0521,0.2675,0.3109,-0.0434
S10,sensitivity,author-written (auxiliary window),carotid tail first principles,16.9337,17.0611,-0.1274,14.7724,13.9158,0.8566,0.2437,0.2031,0.0406,0.4944,0.4276,0.0668,1.0,1.0,0.0,5.7444,5.7899,-0.0455,6.311,6.2625,0.0485,0.7165,0.6802,0.0363,90.2394,95.024,-4.7846,1.3241,1.3204,0.0037,0.462915,0.44788,0.015,0.289,0.3261,-0.0371,0.2835,0.3198,-0.0363
S11,sensitivity,author-written (auxiliary window),paod prompt to case opening,17.1207,17.119,0.0017,14.7661,14.5667,0.1994,0.2633,0.2334,0.0299,0.4651,0.4476,0.0175,1.0,1.0,0.0,5.9104,5.7304,0.18,6.1817,6.172,0.0097,0.6827,0.6478,0.0349,76.2229,68.8826,7.3403,1.3928,1.3308,0.062,0.503488,0.586065,-0.0826,0.3329,0.3636,-0.0307,0.3173,0.3522,-0.0349
S12,sensitivity,author-written (auxiliary window),paod algorithm tail,17.0377,16.4721,0.5656,14.7466,14.0124,0.7342,0.2478,0.2023,0.0455,0.4748,0.4328,0.042,1.0,1.0,0.0,5.765,5.462,0.303,6.1097,6.5643,-0.4546,0.7084,0.6508,0.0576,72.0778,89.3765,-17.2987,1.382,1.2715,0.1105,0.612275,0.431798,0.1805,0.3042,0.3699,-0.0657,0.2916,0.3492,-0.0576
S13,sensitivity,author-written (auxiliary window),risotto constraints decision logic,16.9953,16.4245,0.5708,14.3317,13.9037,0.428,0.2208,0.1994,0.0214,0.4408,0.4134,0.0274,1.0,1.0,0.0,5.6086,5.6333,-0.0247,6.5732,6.4822,0.091,0.6613,0.6672,-0.0059,92.0985,97.523,-5.4245,1.3114,1.2544,0.057,0.398847,0.39585,0.003,0.3502,0.3519,-0.0017,0.3387,0.3328,0.0059
S14,sensitivity,LMSYS,anti joke,16.6751,16.4341,0.241,13.6715,13.5477,0.1238,0.2054,0.1768,0.0286,0.3928,0.3858,0.007,1.0,1.0,0.0,5.4792,5.3461,0.1331,6.6829,6.7396,-0.0567,0.6173,0.6522,-0.0349,97.9182,114.4333,-16.5151,1.2044,1.2325,-0.0281,0.344913,0.329887,0.015,0.4126,0.3784,0.0342,0.3827,0.3478,0.0349
S15,sensitivity,LMSYS,gcp iam,16.6156,16.1216,0.494,13.5698,13.8248,-0.255,0.1988,0.1948,0.004,0.3895,0.4106,-0.0211,1.0,1.0,0.0,5.7162,5.5133,0.2029,6.5733,6.7124,-0.1391,0.6568,0.6867,-0.0299,103.0176,108.2097,-5.1921,1.2303,1.2588,-0.0285,0.320685,0.331058,-0.0104,0.368,0.3264,0.0416,0.3432,0.3133,0.0299
S16,sensitivity,LMSYS,oop,16.5726,16.7186,-0.146,13.4267,14.0108,-0.5841,0.1603,0.2106,-0.0503,0.3797,0.423,-0.0433,1.0,1.0,0.0,5.3541,5.6423,-0.2882,6.7882,6.5948,0.1934,0.5763,0.6698,-0.0935,108.805,107.0716,1.7334,1.2153,1.2335,-0.0182,0.273836,0.372222,-0.0984,0.4567,0.3495,0.1072,0.4237,0.3302,0.0935
S17,sensitivity,LMSYS,hibernate mappedsuperclass,16.3021,16.3009,0.0012,13.3615,13.4155,-0.054,0.1608,0.1657,-0.0049,0.369,0.3624,0.0066,1.0,1.0,0.0,5.2768,5.1596,0.1172,6.9239,6.8042,0.1197,0.6265,0.6049,0.0216,128.9545,112.6949,16.2596,1.2148,1.1911,0.0237,0.260004,0.298529,-0.0385,0.4001,0.4113,-0.0112,0.3735,0.3951,-0.0216
S18,sensitivity,WildChat,latent heat,16.9134,16.4932,0.4202,13.6948,13.9636,-0.2688,0.1789,0.1867,-0.0078,0.4052,0.437,-0.0318,1.0,1.0,0.0,5.3036,5.3624,-0.0588,6.861,6.6675,0.1935,0.6099,0.6663,-0.0564,138.0413,109.5554,28.4859,1.2215,1.2366,-0.0151,0.253026,0.358392,-0.1054,0.4215,0.3506,0.0709,0.3901,0.3337,0.0564
S19,sensitivity,WildChat,debroglie grav waves,16.3657,15.7064,0.6593,13.1116,13.6479,-0.5363,0.158,0.1584,-0.0004,0.3478,0.3995,-0.0517,1.0,1.0,0.0,5.4284,5.0442,0.3842,6.4746,6.7937,-0.3191,0.6855,0.6957,-0.0102,113.7466,137.5033,-23.7567,1.235,1.1803,0.0547,0.31829,0.279675,0.0386,0.3466,0.3054,0.0412,0.3145,0.3043,0.0102
